% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,2.0E-7,2.0E-6,2.596678618677382-0.04369566625623699i,2.596678618677382,6.807854492091965E-11
3.1,2.0E-7,2.0E-6,2.597234720575404-0.044250102943086046i,2.597234720575404,6.696378348668296E-11
3.1,2.0E-7,2.0E-6,2.601235791575697-0.043224328730631756i,2.601235791575697,6.682804799944707E-11
3.1,2.0E-7,2.0E-6,2.6012358544331273-0.0432244023740572i,2.6012358544331273,6.682792079891619E-11
3.1,2.0E-7,2.0E-6,2.6047367606540397-0.04258205613577163i,2.6047367606540397,6.701821469837353E-11
3.1,2.0E-7,2.0E-6,2.604736825786866-0.042582127001081174i,2.604736825786866,6.701816276703858E-11
3.1,2.0E-7,2.0E-6,2.6071768512472278-0.041864840497612354i,2.6071768512472278,6.877691072549263E-11
3.1,2.0E-7,2.0E-6,2.607723143636622-0.04239512440156279i,2.607723143636622,6.696053294863303E-11
3.1,2.0E-7,2.0E-6,2.6093848574216563-0.0418175384219322i,2.6093848574216563,6.70557441050972E-11
3.1,2.0E-7,2.0E-6,2.6093848828504997-0.041817563149506645i,2.6093848828504997,6.705507288032203E-11
3.1,2.0E-7,2.0E-6,2.6105495535600913-0.04159790402914754i,2.6105495535600913,6.661942779913347E-11
3.1,2.0E-7,2.0E-6,2.610549594588917-0.04159795176155104i,2.610549594588917,6.661808402523488E-11
3.1,2.0E-7,2.0E-6,2.6109374348443986-0.04152682284917154i,2.6109374348443986,9.983091806067213E-11
3.2,5.0E-8,2.0E-6,2.4891101077594566-0.06436955602820832i,2.4891101077594566,6.809616933083157E-11
3.2,5.0E-8,2.0E-6,2.489112260237866-0.06436919764795243i,2.489112260237866,6.809754001593039E-11
3.2,5.0E-8,2.0E-6,2.5032703114724204-0.061676428948158744i,2.5032703114724204,6.800175336451598E-11
3.2,5.0E-8,2.0E-6,2.503271842324865-0.061676178231848615i,2.503271842324865,6.800284310165162E-11
3.2,5.0E-8,2.0E-6,2.516429009533096-0.0591244568176524i,2.516429009533096,6.807848816680029E-11
3.2,5.0E-8,2.0E-6,2.516566201714543-0.05922551669540477i,2.516566201714543,6.787889372686886E-11
3.2,5.0E-8,2.0E-6,2.52880587103889-0.056859102582421904i,2.52880587103889,6.785624181913553E-11
3.2,5.0E-8,2.0E-6,2.5288066114853613-0.0568590005073951i,2.5288066114853613,6.785698964048177E-11
3.2,5.0E-8,2.0E-6,2.533575129928813,2.533575129928813,7.434234638260417E-12
3.2,5.0E-8,2.0E-6,2.53357531110339,2.53357531110339,7.434302810774777E-12
3.2,5.0E-8,2.0E-6,2.54021075172815-0.05472274637378112i,2.54021075172815,6.773661543237578E-11
3.2,5.0E-8,2.0E-6,2.5402112103220733-0.05472265898926124i,2.5402112103220733,6.773733383731656E-11
3.2,5.0E-8,2.0E-6,2.5506605767506225-0.052708050570133315i,2.5506605767506225,6.785357907765456E-11
3.2,5.0E-8,2.0E-6,2.5507885004005306-0.05281661778372844i,2.5507885004005306,6.763308455169112E-11
3.2,5.0E-8,2.0E-6,2.560358217761398-0.05097311617401311i,2.560358217761398,6.757710809361875E-11
3.2,5.0E-8,2.0E-6,2.5603583954370017-0.05097308338724163i,2.5603583954370017,6.75773817399533E-11
3.2,5.0E-8,2.0E-6,2.56912244914622-0.04935058101301885i,2.56912244914622,6.774650898911383E-11
3.2,5.0E-8,2.0E-6,2.5691225521253953-0.04935056166183949i,2.5691225521253953,6.774670665787244E-11
3.2,5.0E-8,2.0E-6,2.5769647176432056-0.04783604735040461i,2.5769647176432056,6.767638892623644E-11
3.2,5.0E-8,2.0E-6,2.5770874779419737-0.04794963726831702i,2.5770874779419737,6.743108819605681E-11
3.2,5.0E-8,2.0E-6,2.577830766100169-0.13978454568743862i,2.577830766100169,6.868523386519509E-11
3.2,5.0E-8,2.0E-6,2.577892257004117-0.1398865944161125i,2.577892257004117,6.857458915734696E-11
3.2,5.0E-8,2.0E-6,2.5827999267312123-0.13903493240842282i,2.5827999267312123,6.867886308581098E-11
3.2,5.0E-8,2.0E-6,2.5828000787881047-0.13903531408991218i,2.5828000787881047,6.867917579092269E-11
3.2,5.0E-8,2.0E-6,2.5840771890838132-0.04659611970933769i,2.5840771890838132,7.251912112008297E-11
3.2,5.0E-8,2.0E-6,2.5840772201157627-0.0465961544053965i,2.5840772201157627,7.251919266046949E-11
